"brand_name","drug_product_description","spending_year","wac_year","wac_increase_amount","wac_after_increase","unit_sales_volume_us","total_spending_5_years","total_dosage_units_5_years","total_spending_per_year","total_dosage_units_per_year"
"Admelog Solostar",NULL,2020,NULL,NULL,NULL,NULL,"23244257.12","2319268","5785747.56","339259"
"Admelog Solostar",NULL,2021,NULL,NULL,NULL,NULL,"23244257.12","2319268","6137620.19","352790"
"Admelog Solostar",NULL,2022,NULL,NULL,NULL,NULL,"23244257.12","2319268","4563006.98","341890"
"Adrenalin",NULL,2018,NULL,NULL,NULL,NULL,"118974.75","17930","21787.27","7243"
"Adrenalin",NULL,2019,NULL,NULL,NULL,NULL,"118974.75","17930","13254.02","5026"
"Adrenalin",NULL,2020,NULL,NULL,NULL,NULL,"118974.75","17930","16833.39","1175"
"Adrenalin",NULL,2021,NULL,NULL,NULL,NULL,"118974.75","17930","27653.32","1873"
"Adrenalin",NULL,2022,NULL,NULL,NULL,NULL,"118974.75","17930","39446.75","2613"
"Advair Diskus",NULL,2018,NULL,NULL,NULL,NULL,"6958552381.80","1054185419","2393807457.00","356738339"
"Advair Diskus",NULL,2019,NULL,NULL,NULL,NULL,"6958552381.80","1054185419","1449199813.00","226583918"
"Advair Diskus",NULL,2020,NULL,NULL,NULL,NULL,"6958552381.80","1054185419","1160474903.00","184579142"
"Advair Diskus",NULL,2021,NULL,NULL,NULL,NULL,"6958552381.80","1054185419","1007644269.00","148034748"
"Advair Diskus",NULL,2022,NULL,NULL,NULL,NULL,"6958552381.80","1054185419","947425939.80","138249272"
"Advair HFA",NULL,2018,NULL,NULL,NULL,NULL,"1581515856.40","41841338","260074489.90","7030447"
"Advair HFA",NULL,2019,NULL,NULL,NULL,NULL,"1581515856.40","41841338","276664860.40","7459083"
"Advair HFA",NULL,2020,NULL,NULL,NULL,NULL,"1581515856.40","41841338","313758155.00","8477972"
"Advair HFA",NULL,2021,NULL,NULL,NULL,NULL,"1581515856.40","41841338","346301512.30","8989772"
"Advair HFA",NULL,2022,NULL,NULL,NULL,NULL,"1581515856.40","41841338","384716838.80","9884064"
"Advocate Pen Needle",NULL,2018,NULL,NULL,NULL,NULL,"1132864.14","1775884","99685.13","178610"
"Advocate Pen Needle",NULL,2019,NULL,NULL,NULL,NULL,"1132864.14","1775884","176740.05","297000"
"Advocate Pen Needle",NULL,2020,NULL,NULL,NULL,NULL,"1132864.14","1775884","232112.86","360426"
"Advocate Pen Needle",NULL,2021,NULL,NULL,NULL,NULL,"1132864.14","1775884","431446.13","662704"
"Advocate Pen Needle",NULL,2022,NULL,NULL,NULL,NULL,"1132864.14","1775884","192879.97","277144"
"Advocate Pen Needles",NULL,2018,NULL,NULL,NULL,NULL,"9811524.44","16513933","1480139.85","3118960"
"Advocate Pen Needles",NULL,2019,NULL,NULL,NULL,NULL,"9811524.44","16513933","1659681.10","3066629"
"Advocate Pen Needles",NULL,2020,NULL,NULL,NULL,NULL,"9811524.44","16513933","2270106.92","3675993"
"Advocate Pen Needles",NULL,2021,NULL,NULL,NULL,NULL,"9811524.44","16513933","2172889.98","3424866"
"Advocate Pen Needles",NULL,2022,NULL,NULL,NULL,NULL,"9811524.44","16513933","2228706.59","3227485"
"Advocate Syringes",NULL,2018,NULL,NULL,NULL,NULL,"4027351.56","6580751","624431.56","1308121"
"Advocate Syringes",NULL,2019,NULL,NULL,NULL,NULL,"4027351.56","6580751","672087.12","1292664"
"Advocate Syringes",NULL,2020,NULL,NULL,NULL,NULL,"4027351.56","6580751","879826.95","1329142"
"Advocate Syringes",NULL,2021,NULL,NULL,NULL,NULL,"4027351.56","6580751","868206.19","1286820"
"Advocate Syringes",NULL,2022,NULL,NULL,NULL,NULL,"4027351.56","6580751","982799.74","1364004"
"Adzenys XR-ODT",NULL,2018,NULL,NULL,NULL,NULL,"2380400.68","180061","326765.14","30393"
"Adzenys XR-ODT",NULL,2019,NULL,NULL,NULL,NULL,"2380400.68","180061","441111.93","37843"
"Adzenys XR-ODT",NULL,2020,NULL,NULL,NULL,NULL,"2380400.68","180061","490522.70","37955"
"Adzenys XR-ODT",NULL,2021,NULL,NULL,NULL,NULL,"2380400.68","180061","545688.01","36506"
"Adzenys XR-ODT",NULL,2022,NULL,NULL,NULL,NULL,"2380400.68","180061","576312.90","37364"
"Afinitor",NULL,2018,NULL,NULL,NULL,NULL,"1449626614.20","2571009","386491662.50","727436"
"Afinitor",NULL,2019,NULL,NULL,NULL,NULL,"1449626614.20","2571009","444569351.40","772101"
"Afinitor",NULL,2020,NULL,NULL,NULL,NULL,"1449626614.20","2571009","302356560.40","525604"
"Afinitor",NULL,2021,NULL,NULL,NULL,NULL,"1449626614.20","2571009","216178594.30","373400"
"Afinitor",NULL,2022,NULL,NULL,NULL,NULL,"1449626614.20","2571009","100030445.60","172468"
"Afinitor Disperz",NULL,2018,NULL,NULL,NULL,NULL,"35208701.27","60918","4462227.20","8462"
"Afinitor Disperz",NULL,2019,NULL,NULL,NULL,NULL,"35208701.27","60918","6103971.61","10528"
"Afinitor Disperz",NULL,2020,NULL,NULL,NULL,NULL,"35208701.27","60918","9646174.45","16625"
"Afinitor Disperz",NULL,2021,NULL,NULL,NULL,NULL,"35208701.27","60918","8602849.16","14647"
"Afinitor Disperz",NULL,2022,NULL,NULL,NULL,NULL,"35208701.27","60918","6393478.85","10656"
"Afrezza",NULL,2018,NULL,NULL,NULL,NULL,"42794341.92","5346969","4495446.24","749550"
"Afrezza",NULL,2019,NULL,NULL,NULL,NULL,"42794341.92","5346969","7000874.53","977880"
"Afrezza",NULL,2020,NULL,NULL,NULL,NULL,"42794341.92","5346969","8007830.06","1036929"
"Afrezza",NULL,2021,NULL,NULL,NULL,NULL,"42794341.92","5346969","10393693.26","1216380"
"Afrezza",NULL,2022,NULL,NULL,NULL,NULL,"42794341.92","5346969","12896497.83","1366230"
"Agrylin",NULL,2018,NULL,NULL,NULL,NULL,"3429333.39","427597","212176.42","26646"
"Agrylin",NULL,2019,NULL,NULL,NULL,NULL,"3429333.39","427597","396277.16","50194"
"Agrylin",NULL,2020,NULL,NULL,NULL,NULL,"3429333.39","427597","1931960.65","241430"
"Agrylin",NULL,2021,NULL,NULL,NULL,NULL,"3429333.39","427597","552597.64","68167"
"Agrylin",NULL,2022,NULL,NULL,NULL,NULL,"3429333.39","427597","336321.52","41160"
"Aimovig Autoinjector",NULL,2018,NULL,NULL,NULL,NULL,"899008874.06","1348012","12480615.36","21497"
"Aimovig Autoinjector",NULL,2019,NULL,NULL,NULL,NULL,"899008874.06","1348012","119447008.30","201944"
"Aimovig Autoinjector",NULL,2020,NULL,NULL,NULL,NULL,"899008874.06","1348012","206119544.70","327879"
"Aimovig Autoinjector",NULL,2021,NULL,NULL,NULL,NULL,"899008874.06","1348012","258924035.10","384295"
"Aimovig Autoinjector",NULL,2022,NULL,NULL,NULL,NULL,"899008874.06","1348012","302037670.60","412397"
"Airduo Digihaler",NULL,2020,NULL,NULL,NULL,NULL,"840112.85","1969","19201.39","45"
"Airduo Digihaler",NULL,2021,NULL,NULL,NULL,NULL,"840112.85","1969","268285.41","692"
"Airduo Digihaler",NULL,2022,NULL,NULL,NULL,NULL,"840112.85","1969","552626.05","1232"
"Airduo Respiclick",NULL,2018,NULL,NULL,NULL,NULL,"1309300.81","4026","254968.43","854"
"Airduo Respiclick",NULL,2019,NULL,NULL,NULL,NULL,"1309300.81","4026","270035.48","850"
"Airduo Respiclick",NULL,2020,NULL,NULL,NULL,NULL,"1309300.81","4026","255536.92","809"
"Airduo Respiclick",NULL,2021,NULL,NULL,NULL,NULL,"1309300.81","4026","256265.89","767"
"Airduo Respiclick",NULL,2022,NULL,NULL,NULL,NULL,"1309300.81","4026","272494.09","746"
"Ajovy Autoinjector",NULL,2020,NULL,NULL,NULL,NULL,"80922819.20","183318","5173840.77","12460"
"Ajovy Autoinjector",NULL,2021,NULL,NULL,NULL,NULL,"80922819.20","183318","27293439.60","63424"
"Ajovy Autoinjector",NULL,2022,NULL,NULL,NULL,NULL,"80922819.20","183318","48455538.83","107434"
"Ajovy Syringe",NULL,2018,NULL,NULL,NULL,NULL,"118767021.76","278434","1033232.41","2656"
"Ajovy Syringe",NULL,2019,NULL,NULL,NULL,NULL,"118767021.76","278434","28878501.83","73388"
"Ajovy Syringe",NULL,2020,NULL,NULL,NULL,NULL,"118767021.76","278434","33366366.03","80206"
"Ajovy Syringe",NULL,2021,NULL,NULL,NULL,NULL,"118767021.76","278434","28482115.37","64608"
"Ajovy Syringe",NULL,2022,NULL,NULL,NULL,NULL,"118767021.76","278434","27006806.12","57576"
"Ak-Poly-Bac",NULL,2018,NULL,NULL,NULL,NULL,"51251.56","11684","4002.05","879"
"Ak-Poly-Bac",NULL,2019,NULL,NULL,NULL,NULL,"51251.56","11684","18099.17","4051"
"Ak-Poly-Bac",NULL,2020,NULL,NULL,NULL,NULL,"51251.56","11684","17092.66","3861"
"Ak-Poly-Bac",NULL,2021,NULL,NULL,NULL,NULL,"51251.56","11684","4813.22","1146"
"Ak-Poly-Bac",NULL,2022,NULL,NULL,NULL,NULL,"51251.56","11684","7244.46","1747"
"Aklief",NULL,2020,NULL,NULL,NULL,NULL,"379567.08","27180","51446.95","4005"
"Aklief",NULL,2021,NULL,NULL,NULL,NULL,"379567.08","27180","149786.26","10935"
"Aklief",NULL,2022,NULL,NULL,NULL,NULL,"379567.08","27180","178333.87","12240"
"Akten",NULL,2018,NULL,NULL,NULL,NULL,"20423.39","812","2452.77","94"
"Akten",NULL,2019,NULL,NULL,NULL,NULL,"20423.39","812","6595.63","274"
"Akten",NULL,2020,NULL,NULL,NULL,NULL,"20423.39","812","2536.83","106"
"Akten",NULL,2021,NULL,NULL,NULL,NULL,"20423.39","812","2993.63","114"
"Akten",NULL,2022,NULL,NULL,NULL,NULL,"20423.39","812","5844.53","224"
"Akynzeo",NULL,2018,NULL,NULL,NULL,NULL,"5536197.98","82287","683619.20","1264"
"Akynzeo",NULL,2019,NULL,NULL,NULL,NULL,"5536197.98","82287","688120.65","1197"
"Akynzeo",NULL,2020,NULL,NULL,NULL,NULL,"5536197.98","82287","651296.15","2876"
"Akynzeo",NULL,2021,NULL,NULL,NULL,NULL,"5536197.98","82287","627257.98","7040"
"Akynzeo",NULL,2022,NULL,NULL,NULL,NULL,"5536197.98","82287","2885904.00","69910"
"Ala-Cort",NULL,2018,NULL,NULL,NULL,NULL,"34393.52","89837","310.10","1986"
"Ala-Cort",NULL,2019,NULL,NULL,NULL,NULL,"34393.52","89837","293.84","1767"
"Ala-Cort",NULL,2020,NULL,NULL,NULL,NULL,"34393.52","89837","4117.78","18037"
"Ala-Cort",NULL,2021,NULL,NULL,NULL,NULL,"34393.52","89837","14670.12","34166"
"Ala-Cort",NULL,2022,NULL,NULL,NULL,NULL,"34393.52","89837","15001.68","33881"
"Ala-Scalp",NULL,2021,NULL,NULL,NULL,NULL,"228364.16","15066","54500.10","3640"
"Ala-Scalp",NULL,2022,NULL,NULL,NULL,NULL,"228364.16","15066","173864.06","11426"
"Albendazole",NULL,2018,NULL,NULL,NULL,NULL,"39498089.90","391432","1012105.88","6208"
"Albendazole",NULL,2019,NULL,NULL,NULL,NULL,"39498089.90","391432","7837948.05","53979"
"Albendazole",NULL,2020,NULL,NULL,NULL,NULL,"39498089.90","391432","11263921.75","87774"
"Albendazole",NULL,2021,NULL,NULL,NULL,NULL,"39498089.90","391432","9390282.90","104909"
"Albendazole",NULL,2022,NULL,NULL,NULL,NULL,"39498089.90","391432","9993831.32","138562"
"Albutein",NULL,2018,NULL,NULL,NULL,NULL,"15861.01","18720","13299.87","16610"
"Albutein",NULL,2022,NULL,NULL,NULL,NULL,"15861.01","18720","2561.14","2110"
"Albuterol Sulfate HFA",NULL,2019,NULL,NULL,NULL,NULL,"2029844473.10","596052224","181614417.50","55461231"
"Albuterol Sulfate HFA",NULL,2020,NULL,NULL,NULL,NULL,"2029844473.10","596052224","491440329.70","144449429"
"Albuterol Sulfate HFA",NULL,2021,NULL,NULL,NULL,NULL,"2029844473.10","596052224","645935389.50","187590951"
"Albuterol Sulfate HFA",NULL,2022,NULL,NULL,NULL,NULL,"2029844473.10","596052224","710854336.40","208550613"
"Albuterol Sulfate*",NULL,2018,NULL,NULL,NULL,NULL,"83753748.76","222266364","22459338.77","64785435"
"Albuterol Sulfate*",NULL,2019,NULL,NULL,NULL,NULL,"83753748.76","222266364","22078595.39","57908910"
"Albuterol Sulfate*",NULL,2020,NULL,NULL,NULL,NULL,"83753748.76","222266364","16712655.38","40792381"
"Albuterol Sulfate*",NULL,2021,NULL,NULL,NULL,NULL,"83753748.76","222266364","11437050.58","29060272"
"Albuterol Sulfate*",NULL,2022,NULL,NULL,NULL,NULL,"83753748.76","222266364","11066108.64","29719366"
"Alclometasone Dipropionate",NULL,2018,NULL,NULL,NULL,NULL,"18509753.07","14930907","4864670.41","3642482"
"Alclometasone Dipropionate",NULL,2019,NULL,NULL,NULL,NULL,"18509753.07","14930907","4342147.24","3567696"
"Alclometasone Dipropionate",NULL,2020,NULL,NULL,NULL,NULL,"18509753.07","14930907","3263750.51","2608163"
"Alclometasone Dipropionate",NULL,2021,NULL,NULL,NULL,NULL,"18509753.07","14930907","3057627.48","2580409"
"Alclometasone Dipropionate",NULL,2022,NULL,NULL,NULL,NULL,"18509753.07","14930907","2981557.43","2532157"
"Alcohol Pads",NULL,2018,NULL,NULL,NULL,NULL,"90647536.51","217944997","23121706.07","55086223"
"Alcohol Pads",NULL,2019,NULL,NULL,NULL,NULL,"90647536.51","217944997","30480774.70","71887130"
"Alcohol Pads",NULL,2020,NULL,NULL,NULL,NULL,"90647536.51","217944997","14356794.02","35625980"
"Alcohol Pads",NULL,2021,NULL,NULL,NULL,NULL,"90647536.51","217944997","11727610.56","28771366"
"Alcohol Pads",NULL,2022,NULL,NULL,NULL,NULL,"90647536.51","217944997","10960651.16","26574298"
"Alcohol Prep Pads",NULL,2018,NULL,NULL,NULL,NULL,"140717289.58","479467716","39457137.91","110386334"
"Alcohol Prep Pads",NULL,2019,NULL,NULL,NULL,NULL,"140717289.58","479467716","39663396.74","110058346"
"Alcohol Prep Pads",NULL,2020,NULL,NULL,NULL,NULL,"140717289.58","479467716","28018332.23","106287815"
"Alcohol Prep Pads",NULL,2021,NULL,NULL,NULL,NULL,"140717289.58","479467716","18350811.99","78471891"
"Alcohol Prep Pads",NULL,2022,NULL,NULL,NULL,NULL,"140717289.58","479467716","15227610.71","74263330"
"Alcohol Swab",NULL,2018,NULL,NULL,NULL,NULL,"561783.98","22623742","69536.31","3022965"
"Alcohol Swab",NULL,2019,NULL,NULL,NULL,NULL,"561783.98","22623742","136433.95","4387510"
"Alcohol Swab",NULL,2020,NULL,NULL,NULL,NULL,"561783.98","22623742","119032.03","5365521"
"Alcohol Swab",NULL,2021,NULL,NULL,NULL,NULL,"561783.98","22623742","116618.54","4945766"
"Alcohol Swab",NULL,2022,NULL,NULL,NULL,NULL,"561783.98","22623742","120163.15","4901980"
"Alcohol Swabs",NULL,2018,NULL,NULL,NULL,NULL,"2439794.48","71620209","172883.61","7165470"
"Alcohol Swabs",NULL,2019,NULL,NULL,NULL,NULL,"2439794.48","71620209","190788.95","7557962"
"Alcohol Swabs",NULL,2020,NULL,NULL,NULL,NULL,"2439794.48","71620209","423930.09","13240528"
"Alcohol Swabs",NULL,2021,NULL,NULL,NULL,NULL,"2439794.48","71620209","773585.63","21679931"
"Alcohol Swabs",NULL,2022,NULL,NULL,NULL,NULL,"2439794.48","71620209","878606.20","21976318"
"Alcohol Wipes",NULL,2018,NULL,NULL,NULL,NULL,"87954.84","1571249","11239.24","274141"
"Alcohol Wipes",NULL,2019,NULL,NULL,NULL,NULL,"87954.84","1571249","12887.68","273360"
"Alcohol Wipes",NULL,2020,NULL,NULL,NULL,NULL,"87954.84","1571249","23035.50","490101"
"Alcohol Wipes",NULL,2021,NULL,NULL,NULL,NULL,"87954.84","1571249","24128.66","340444"
"Alcohol Wipes",NULL,2022,NULL,NULL,NULL,NULL,"87954.84","1571249","16663.76","193203"
"Aldactazide",NULL,2018,NULL,NULL,NULL,NULL,"1123718.35","291274","222849.82","62909"
"Aldactazide",NULL,2019,NULL,NULL,NULL,NULL,"1123718.35","291274","239456.54","65014"
"Aldactazide",NULL,2020,NULL,NULL,NULL,NULL,"1123718.35","291274","241764.08","63603"
"Aldactazide",NULL,2021,NULL,NULL,NULL,NULL,"1123718.35","291274","222415.66","53966"
"Aldactazide",NULL,2022,NULL,NULL,NULL,NULL,"1123718.35","291274","197232.25","45782"
"Aldactone",NULL,2018,NULL,NULL,NULL,NULL,"3003373.14","914075","640482.50","209500"
"Aldactone",NULL,2019,NULL,NULL,NULL,NULL,"3003373.14","914075","611625.55","196969"
"Aldactone",NULL,2020,NULL,NULL,NULL,NULL,"3003373.14","914075","591299.16","173113"
"Aldactone",NULL,2021,NULL,NULL,NULL,NULL,"3003373.14","914075","624110.71","183893"
"Aldactone",NULL,2022,NULL,NULL,NULL,NULL,"3003373.14","914075","535855.22","150600"
"Aldurazyme",NULL,2021,NULL,NULL,NULL,NULL,"15857634.12","77560","7750224.90","38560"
"Aldurazyme",NULL,2022,NULL,NULL,NULL,NULL,"15857634.12","77560","8107409.22","39000"
"Alecensa",NULL,2018,NULL,NULL,NULL,NULL,"533144232.77","7952014","64635716.51","1048698"
"Alecensa",NULL,2019,NULL,NULL,NULL,NULL,"533144232.77","7952014","84214133.36","1337064"
"Alecensa",NULL,2020,NULL,NULL,NULL,NULL,"533144232.77","7952014","105142346.50","1609672"
"Alecensa",NULL,2021,NULL,NULL,NULL,NULL,"533144232.77","7952014","125219804.20","1833208"
"Alecensa",NULL,2022,NULL,NULL,NULL,NULL,"533144232.77","7952014","153932232.20","2123372"
"Alendronate Sodium",NULL,2018,NULL,NULL,NULL,NULL,"367240622.02","352179386","50813579.06","50652712"
"Alendronate Sodium",NULL,2019,NULL,NULL,NULL,NULL,"367240622.02","352179386","72455143.62","70108340"
"Alendronate Sodium",NULL,2020,NULL,NULL,NULL,NULL,"367240622.02","352179386","76398745.25","72844487"
"Alendronate Sodium",NULL,2021,NULL,NULL,NULL,NULL,"367240622.02","352179386","79586171.51","76762847"
"Alendronate Sodium",NULL,2022,NULL,NULL,NULL,NULL,"367240622.02","352179386","87986982.58","81811000"
"Alfuzosin HCl ER",NULL,2018,NULL,NULL,NULL,NULL,"111181375.48","260013286","16713302.95","39740522"
"Alfuzosin HCl ER",NULL,2019,NULL,NULL,NULL,NULL,"111181375.48","260013286","19703840.92","46745535"
"Alfuzosin HCl ER",NULL,2020,NULL,NULL,NULL,NULL,"111181375.48","260013286","23494635.44","52305472"
"Alfuzosin HCl ER",NULL,2021,NULL,NULL,NULL,NULL,"111181375.48","260013286","25184312.92","57807008"
"Alfuzosin HCl ER",NULL,2022,NULL,NULL,NULL,NULL,"111181375.48","260013286","26085283.25","63414749"
"Alimta",NULL,2018,NULL,NULL,NULL,NULL,"43543885.82","50785","7522797.52","4784"
"Alimta",NULL,2019,NULL,NULL,NULL,NULL,"43543885.82","50785","9039778.05","6012"
"Alimta",NULL,2020,NULL,NULL,NULL,NULL,"43543885.82","50785","9697562.74","6682"
"Alimta",NULL,2021,NULL,NULL,NULL,NULL,"43543885.82","50785","9849598.41","15197"
"Alimta",NULL,2022,NULL,NULL,NULL,NULL,"43543885.82","50785","7434149.10","18110"
"Aliskiren",NULL,2019,NULL,NULL,NULL,NULL,"52567206.89","8548620","10774241.08","1680901"
"Aliskiren",NULL,2020,NULL,NULL,NULL,NULL,"52567206.89","8548620","15425678.29","2499838"
"Aliskiren",NULL,2021,NULL,NULL,NULL,NULL,"52567206.89","8548620","13715674.19","2254691"
"Aliskiren",NULL,2022,NULL,NULL,NULL,NULL,"52567206.89","8548620","12651613.33","2113190"
"Allopurinol",NULL,2018,NULL,NULL,NULL,NULL,"704361291.50","3457547444","146609301.20","612409894"
"Allopurinol",NULL,2019,NULL,NULL,NULL,NULL,"704361291.50","3457547444","147274303.40","672082652"
"Allopurinol",NULL,2020,NULL,NULL,NULL,NULL,"704361291.50","3457547444","139013090.00","710256032"
"Allopurinol",NULL,2021,NULL,NULL,NULL,NULL,"704361291.50","3457547444","135198546.00","722965776"
"Allopurinol",NULL,2022,NULL,NULL,NULL,NULL,"704361291.50","3457547444","136266050.90","739833090"
"Allzital",NULL,2021,NULL,NULL,NULL,NULL,"16082.43","3952","8213.75","1934"
"Allzital",NULL,2022,NULL,NULL,NULL,NULL,"16082.43","3952","7868.68","2018"
"Almotriptan Malate",NULL,2018,NULL,NULL,NULL,NULL,"9079426.31","387464","1858369.13","76579"
"Almotriptan Malate",NULL,2019,NULL,NULL,NULL,NULL,"9079426.31","387464","1962197.85","81404"
"Almotriptan Malate",NULL,2020,NULL,NULL,NULL,NULL,"9079426.31","387464","1773512.78","79128"
"Almotriptan Malate",NULL,2021,NULL,NULL,NULL,NULL,"9079426.31","387464","1685484.90","75420"
"Almotriptan Malate",NULL,2022,NULL,NULL,NULL,NULL,"9079426.31","387464","1799861.65","74933"
"Alocril",NULL,2018,NULL,NULL,NULL,NULL,"1438077.61","31740","439814.02","9865"
"Alocril",NULL,2019,NULL,NULL,NULL,NULL,"1438077.61","31740","379698.22","8470"
"Alocril",NULL,2020,NULL,NULL,NULL,NULL,"1438077.61","31740","312953.46","6985"
"Alocril",NULL,2021,NULL,NULL,NULL,NULL,"1438077.61","31740","262378.82","5495"
"Alocril",NULL,2022,NULL,NULL,NULL,NULL,"1438077.61","31740","43233.09","925"
"Alogliptin",NULL,2018,NULL,NULL,NULL,NULL,"67511367.99","11373714","7269829.64","1196400"
"Alogliptin",NULL,2019,NULL,NULL,NULL,NULL,"67511367.99","11373714","9623213.96","1608525"
"Alogliptin",NULL,2020,NULL,NULL,NULL,NULL,"67511367.99","11373714","16588328.76","2754230"
"Alogliptin",NULL,2021,NULL,NULL,NULL,NULL,"67511367.99","11373714","17733480.54","3034791"
"Alogliptin",NULL,2022,NULL,NULL,NULL,NULL,"67511367.99","11373714","16296515.09","2779768"
"Alogliptin-Metformin",NULL,2018,NULL,NULL,NULL,NULL,"6438187.94","2183731","1276456.43","415083"
"Alogliptin-Metformin",NULL,2019,NULL,NULL,NULL,NULL,"6438187.94","2183731","1606779.13","569728"
"Alogliptin-Metformin",NULL,2020,NULL,NULL,NULL,NULL,"6438187.94","2183731","1021109.17","336692"
"Alogliptin-Metformin",NULL,2021,NULL,NULL,NULL,NULL,"6438187.94","2183731","1255547.56","425457"
"Alogliptin-Metformin",NULL,2022,NULL,NULL,NULL,NULL,"6438187.94","2183731","1278295.65","436771"
"Alogliptin-Pioglitazone",NULL,2018,NULL,NULL,NULL,NULL,"4318704.76","703006","1365441.83","220048"
"Alogliptin-Pioglitazone",NULL,2019,NULL,NULL,NULL,NULL,"4318704.76","703006","1100715.52","179393"
"Alogliptin-Pioglitazone",NULL,2020,NULL,NULL,NULL,NULL,"4318704.76","703006","730832.60","119869"
"Alogliptin-Pioglitazone",NULL,2021,NULL,NULL,NULL,NULL,"4318704.76","703006","621431.09","101710"
"Alogliptin-Pioglitazone",NULL,2022,NULL,NULL,NULL,NULL,"4318704.76","703006","500283.72","81986"
"Alomide",NULL,2018,NULL,NULL,NULL,NULL,"586214.85","33828","156348.28","9088"
"Alomide",NULL,2019,NULL,NULL,NULL,NULL,"586214.85","33828","118084.81","6850"
"Alomide",NULL,2020,NULL,NULL,NULL,NULL,"586214.85","33828","111090.89","6460"
"Alomide",NULL,2021,NULL,NULL,NULL,NULL,"586214.85","33828","101314.34","5830"
"Alomide",NULL,2022,NULL,NULL,NULL,NULL,"586214.85","33828","99376.53","5600"
"Alosetron HCl",NULL,2018,NULL,NULL,NULL,NULL,"71312257.65","3355699","15008078.35","621196"
"Alosetron HCl",NULL,2019,NULL,NULL,NULL,NULL,"71312257.65","3355699","14829828.34","672235"
"Alosetron HCl",NULL,2020,NULL,NULL,NULL,NULL,"71312257.65","3355699","14308125.35","683626"
"Alosetron HCl",NULL,2021,NULL,NULL,NULL,NULL,"71312257.65","3355699","13711783.90","692000"
"Alosetron HCl",NULL,2022,NULL,NULL,NULL,NULL,"71312257.65","3355699","13454441.71","686642"
"Alphagan P",NULL,2018,NULL,NULL,NULL,NULL,"1019018517.70","30471635","200393560.30","6876245"
"Alphagan P",NULL,2019,NULL,NULL,NULL,NULL,"1019018517.70","30471635","210001980.70","6565435"
"Alphagan P",NULL,2020,NULL,NULL,NULL,NULL,"1019018517.70","30471635","204587977.30","6082401"
